aadhaar,category,iris_path,face_path,voted
123456789012,normal,,,no
987654321098,blind,,,no
111122223333,blind,,,no
222233334444,normal,iris_222233334444.png,face_222233334444.png,no
333344445555,normal,,,no
555566667777,normal,iris_555566667777.png,face_555566667777.png,yes
777788889999,blind,,,no
122113311441,normal,,,no
123443211234,normal,,,no
112233445566,normal,iris_112233445566.png,face_112233445566.png,no
223344556677,normal,iris_223344556677.png,face_223344556677.png,no
334455667788,normal,,,no
445566778899,normal,,,no
556677889900,blind,,,no
